time,站點,人次
2018-12-01 01:00:00,麟光,1
2018-12-01 01:00:00,龍山寺,11
2018-12-01 05:00:00,七張,0
2018-12-01 05:00:00,三和國中,0
2018-12-01 05:00:00,三民高中,0
2018-12-01 05:00:00,三重,0
2018-12-01 05:00:00,三重國小,0
2018-12-01 05:00:00,中山,0
2018-12-01 05:00:00,中山國中,0
2018-12-01 05:00:00,中山國小,0
2018-12-01 05:00:00,中正紀念堂,0
2018-12-01 05:00:00,丹鳳,0
2018-12-01 05:00:00,亞東醫院,0
2018-12-01 05:00:00,信義安和,0
2018-12-01 05:00:00,先嗇宮,0
2018-12-01 05:00:00,內湖,0
2018-12-01 05:00:00,公館,0
2018-12-01 05:00:00,六張犁,0
2018-12-01 05:00:00,劍南路,0
2018-12-01 05:00:00,劍潭,0
2018-12-01 05:00:00,動物園,0
2018-12-01 05:00:00,北投,0
2018-12-01 05:00:00,北門,0
2018-12-01 05:00:00,南京三民,2
2018-12-01 05:00:00,南京復興,0
2018-12-01 05:00:00,南勢角,0
2018-12-01 05:00:00,南港,0
2018-12-01 05:00:00,南港展覽館,0
2018-12-01 05:00:00,南港軟體園區,1
2018-12-01 05:00:00,古亭,0
2018-12-01 05:00:00,台北101/世貿,0
2018-12-01 05:00:00,台北小巨蛋,0
2018-12-01 05:00:00,台北橋,0
2018-12-01 05:00:00,台北車站,1
2018-12-01 05:00:00,台大醫院,0
2018-12-01 05:00:00,台電大樓,1
2018-12-01 05:00:00,唭哩岸,1
2018-12-01 05:00:00,善導寺,0
2018-12-01 05:00:00,國父紀念館,0
2018-12-01 05:00:00,圓山,1
2018-12-01 05:00:00,土城,0
2018-12-01 05:00:00,士林,0
2018-12-01 05:00:00,大坪林,0
2018-12-01 05:00:00,大安,0
2018-12-01 05:00:00,大安森林公園,0
2018-12-01 05:00:00,大橋頭站,0
2018-12-01 05:00:00,大湖公園,0
2018-12-01 05:00:00,大直,0
2018-12-01 05:00:00,奇岩,0
2018-12-01 05:00:00,小南門,0
2018-12-01 05:00:00,小碧潭,0
2018-12-01 05:00:00,市政府,0
2018-12-01 05:00:00,府中,0
2018-12-01 05:00:00,後山埤,1
2018-12-01 05:00:00,徐匯中學,0
2018-12-01 05:00:00,復興崗,0
2018-12-01 05:00:00,忠孝復興,0
2018-12-01 05:00:00,忠孝敦化,0
2018-12-01 05:00:00,忠孝新生,0
2018-12-01 05:00:00,忠義,0
2018-12-01 05:00:00,文德,0
2018-12-01 05:00:00,新北投,0
2018-12-01 05:00:00,新埔,0
2018-12-01 05:00:00,新店,1
2018-12-01 05:00:00,新店區公所,0
2018-12-01 05:00:00,新莊,0
2018-12-01 05:00:00,昆陽,0
2018-12-01 05:00:00,明德,0
2018-12-01 05:00:00,景安,0
2018-12-01 05:00:00,景美,2
2018-12-01 05:00:00,木柵,0
2018-12-01 05:00:00,東湖,0
2018-12-01 05:00:00,東門,0
2018-12-01 05:00:00,松山,0
2018-12-01 05:00:00,松山機場,0
2018-12-01 05:00:00,松江南京,0
2018-12-01 05:00:00,板橋,0
2018-12-01 05:00:00,民權西路,0
2018-12-01 05:00:00,永安市場,0
2018-12-01 05:00:00,永寧,0
2018-12-01 05:00:00,永春,0
2018-12-01 05:00:00,江子翠,1
2018-12-01 05:00:00,海山,0
2018-12-01 05:00:00,淡水,1
2018-12-01 05:00:00,港墘,0
2018-12-01 05:00:00,石牌,2
2018-12-01 05:00:00,科技大樓,0
2018-12-01 05:00:00,竹圍,0
2018-12-01 05:00:00,紅樹林,0
2018-12-01 05:00:00,芝山,1
2018-12-01 05:00:00,菜寮,1
2018-12-01 05:00:00,萬芳社區,0
2018-12-01 05:00:00,萬芳醫院,0
2018-12-01 05:00:00,萬隆,0
2018-12-01 05:00:00,葫洲,0
2018-12-01 05:00:00,蘆洲,0
2018-12-01 05:00:00,行天宮,0
2018-12-01 05:00:00,西湖,0
2018-12-01 05:00:00,西門,1
2018-12-01 05:00:00,象山,0
2018-12-01 05:00:00,輔大,0
2018-12-01 05:00:00,辛亥,0
2018-12-01 05:00:00,迴龍,0
2018-12-01 05:00:00,關渡,0
2018-12-01 05:00:00,雙連,0
2018-12-01 05:00:00,頂埔,0
2018-12-01 05:00:00,頂溪,1
2018-12-01 05:00:00,頭前庄,0
2018-12-01 05:00:00,麟光,0
2018-12-01 05:00:00,龍山寺,2
2018-12-01 06:00:00,七張,210
2018-12-01 06:00:00,三和國中,262
2018-12-01 06:00:00,三民高中,258
2018-12-01 06:00:00,三重,75
2018-12-01 06:00:00,三重國小,294
2018-12-01 06:00:00,中山,177
2018-12-01 06:00:00,中山國中,120
2018-12-01 06:00:00,中山國小,217
2018-12-01 06:00:00,中正紀念堂,168
2018-12-01 06:00:00,丹鳳,186
2018-12-01 06:00:00,亞東醫院,360
2018-12-01 06:00:00,信義安和,124
2018-12-01 06:00:00,先嗇宮,41
2018-12-01 06:00:00,內湖,109
2018-12-01 06:00:00,公館,281
2018-12-01 06:00:00,六張犁,109
2018-12-01 06:00:00,劍南路,46
2018-12-01 06:00:00,劍潭,304
2018-12-01 06:00:00,動物園,28
2018-12-01 06:00:00,北投,295
2018-12-01 06:00:00,北門,33
2018-12-01 06:00:00,南京三民,155
2018-12-01 06:00:00,南京復興,197
2018-12-01 06:00:00,南勢角,451
2018-12-01 06:00:00,南港,138
2018-12-01 06:00:00,南港展覽館,291
2018-12-01 06:00:00,南港軟體園區,15
2018-12-01 06:00:00,古亭,262
2018-12-01 06:00:00,台北101/世貿,163
2018-12-01 06:00:00,台北小巨蛋,95
2018-12-01 06:00:00,台北橋,194
2018-12-01 06:00:00,台北車站,856
2018-12-01 06:00:00,台大醫院,60
2018-12-01 06:00:00,台電大樓,199
2018-12-01 06:00:00,唭哩岸,153
2018-12-01 06:00:00,善導寺,95
2018-12-01 06:00:00,國父紀念館,135
2018-12-01 06:00:00,圓山,284
2018-12-01 06:00:00,土城,147
2018-12-01 06:00:00,士林,294
2018-12-01 06:00:00,大坪林,218
2018-12-01 06:00:00,大安,132
2018-12-01 06:00:00,大安森林公園,72
2018-12-01 06:00:00,大橋頭站,158
2018-12-01 06:00:00,大湖公園,36
2018-12-01 06:00:00,大直,80
2018-12-01 06:00:00,奇岩,136
2018-12-01 06:00:00,小南門,35
2018-12-01 06:00:00,小碧潭,21
2018-12-01 06:00:00,市政府,274
2018-12-01 06:00:00,府中,397
2018-12-01 06:00:00,後山埤,222
2018-12-01 06:00:00,徐匯中學,169
2018-12-01 06:00:00,復興崗,83
2018-12-01 06:00:00,忠孝復興,196
2018-12-01 06:00:00,忠孝敦化,199
2018-12-01 06:00:00,忠孝新生,154
2018-12-01 06:00:00,忠義,36
2018-12-01 06:00:00,文德,179
2018-12-01 06:00:00,新北投,30
2018-12-01 06:00:00,新埔,648
2018-12-01 06:00:00,新店,171
2018-12-01 06:00:00,新店區公所,155
2018-12-01 06:00:00,新莊,132
2018-12-01 06:00:00,昆陽,157
2018-12-01 06:00:00,明德,188
2018-12-01 06:00:00,景安,421
2018-12-01 06:00:00,景美,249
2018-12-01 06:00:00,木柵,41
2018-12-01 06:00:00,東湖,105
2018-12-01 06:00:00,東門,146
2018-12-01 06:00:00,松山,171
2018-12-01 06:00:00,松山機場,17
2018-12-01 06:00:00,松江南京,123
2018-12-01 06:00:00,板橋,352
2018-12-01 06:00:00,民權西路,255
2018-12-01 06:00:00,永安市場,482
2018-12-01 06:00:00,永寧,129
2018-12-01 06:00:00,永春,257
2018-12-01 06:00:00,江子翠,452
2018-12-01 06:00:00,海山,453
2018-12-01 06:00:00,淡水,454
2018-12-01 06:00:00,港墘,105
2018-12-01 06:00:00,石牌,332
2018-12-01 06:00:00,科技大樓,109
2018-12-01 06:00:00,竹圍,155
2018-12-01 06:00:00,紅樹林,93
2018-12-01 06:00:00,芝山,322
2018-12-01 06:00:00,菜寮,160
2018-12-01 06:00:00,萬芳社區,32
2018-12-01 06:00:00,萬芳醫院,118
2018-12-01 06:00:00,萬隆,197
2018-12-01 06:00:00,葫洲,77
2018-12-01 06:00:00,蘆洲,264
2018-12-01 06:00:00,行天宮,151
2018-12-01 06:00:00,西湖,68
2018-12-01 06:00:00,西門,553
2018-12-01 06:00:00,象山,119
2018-12-01 06:00:00,輔大,124
2018-12-01 06:00:00,辛亥,51
2018-12-01 06:00:00,迴龍,134
2018-12-01 06:00:00,關渡,148
2018-12-01 06:00:00,雙連,133
2018-12-01 06:00:00,頂埔,160
2018-12-01 06:00:00,頂溪,592
2018-12-01 06:00:00,頭前庄,58
2018-12-01 06:00:00,麟光,64
2018-12-01 06:00:00,龍山寺,476
2018-12-01 07:00:00,七張,632
2018-12-01 07:00:00,三和國中,587
2018-12-01 07:00:00,三民高中,552
2018-12-01 07:00:00,三重,201
2018-12-01 07:00:00,三重國小,545
2018-12-01 07:00:00,中山,356
2018-12-01 07:00:00,中山國中,288
2018-12-01 07:00:00,中山國小,348
2018-12-01 07:00:00,中正紀念堂,378
2018-12-01 07:00:00,丹鳳,489
2018-12-01 07:00:00,亞東醫院,918
2018-12-01 07:00:00,信義安和,342
2018-12-01 07:00:00,先嗇宮,80
2018-12-01 07:00:00,內湖,242
2018-12-01 07:00:00,公館,554
2018-12-01 07:00:00,六張犁,326
